Date,Open*,High,Low,Close,Volume,Market Cap
"Dec 19, 2020",$3.41,$3.61,$3.38,$3.47,"$19,919,598","$266,941,835"
"Dec 20, 2020",$3.47,$3.50,$3.29,$3.31,"$18,750,351","$254,774,649"
"Dec 21, 2020",$3.31,$3.35,$3.03,$3.10,"$25,892,571","$238,321,702"
"Dec 22, 2020",$3.09,$3.13,$2.92,$3.08,"$23,991,868","$237,152,405"
"Dec 23, 2020",$3.08,$3.62,$2.80,$2.92,"$50,329,367","$224,373,269"
"Dec 24, 2020",$2.93,$3.11,$2.79,$3.10,"$29,820,498","$238,406,607"
"Dec 25, 2020",$3.10,$3.13,$2.86,$2.95,"$26,360,909","$227,326,661"
"Dec 26, 2020",$2.96,$2.99,$2.85,$2.92,"$21,332,105","$224,523,073"
"Dec 27, 2020",$2.92,$3.05,$2.85,$2.91,"$24,533,711","$223,591,506"
"Dec 28, 2020",$2.91,$3.05,$2.87,$2.95,"$27,088,075","$226,766,974"
"Dec 29, 2020",$2.95,$3.01,$2.84,$2.92,"$25,386,162","$225,015,155"
"Dec 30, 2020",$2.93,$2.94,$2.83,$2.92,"$17,031,663","$224,841,559"
"Dec 31, 2020",$2.92,$3.19,$2.79,$3.14,"$18,953,615","$241,244,545"
"Jan 01, 2021",$3.15,$3.87,$3.05,$3.66,"$81,260,736","$281,960,683"
"Jan 02, 2021",$3.66,$3.94,$3.30,$3.49,"$50,081,958","$268,890,418"
"Jan 03, 2021",$3.49,$3.83,$3.40,$3.47,"$36,997,985","$267,198,080"
"Jan 04, 2021",$3.47,$3.83,$3.25,$3.59,"$39,414,734","$276,222,732"
"Jan 05, 2021",$3.59,$4.34,$3.49,$4.24,"$69,735,075","$326,014,027"
"Jan 06, 2021",$4.23,$4.97,$4.16,$4.62,"$77,632,627","$355,476,681"
"Jan 07, 2021",$4.61,$4.81,$4.35,$4.48,"$53,715,138","$344,417,453"
"Jan 08, 2021",$4.48,$5.81,$4.05,$5.80,"$100,707,264","$446,012,601"
"Jan 09, 2021",$5.77,$7.46,$5.62,$7.22,"$162,227,415","$555,372,546"
"Jan 10, 2021",$7.22,$7.50,$6.19,$6.59,"$96,243,972","$506,745,603"
"Jan 11, 2021",$6.58,$6.99,$5.78,$6.49,"$101,394,969","$499,636,093"
"Jan 12, 2021",$6.49,$8.20,$6.46,$7.78,"$157,738,757","$598,778,011"
"Jan 13, 2021",$7.76,$8.48,$7.19,$8.47,"$107,370,548","$651,411,838"
"Jan 14, 2021",$8.46,$9.53,$8.23,$9.26,"$154,674,301","$712,538,308"
"Jan 15, 2021",$9.27,$9.86,$8.63,$9.38,"$123,418,249","$721,670,510"
"Jan 16, 2021",$9.39,$13.36,$9.17,$12.88,"$302,897,986","$990,789,095"
"Jan 17, 2021",$12.87,$14.38,$12.40,$13.20,"$303,643,624","$1,015,775,623"
"Jan 18, 2021",$13.18,$13.83,$12.68,$12.70,"$144,213,432","$977,221,720"
"Jan 19, 2021",$12.71,$13.33,$11.62,$11.79,"$147,387,064","$907,112,574"
"Jan 20, 2021",$11.79,$13.00,$11.08,$12.41,"$143,245,334","$954,909,297"
"Jan 21, 2021",$12.42,$12.99,$11.15,$11.31,"$166,420,741","$870,167,050"
"Jan 22, 2021",$11.30,$13.38,$10.72,$12.72,"$190,313,148","$978,549,789"
"Jan 23, 2021",$12.71,$13.48,$12.56,$12.88,"$140,727,865","$990,735,832"
"Jan 24, 2021",$12.87,$13.16,$12.28,$12.46,"$105,137,518","$958,937,265"
"Jan 25, 2021",$12.46,$12.93,$12.08,$12.22,"$89,612,475","$940,485,904"
"Jan 26, 2021",$12.22,$12.72,$11.48,$12.17,"$117,575,609","$936,546,303"
"Jan 27, 2021",$12.18,$12.22,$10.84,$11.18,"$97,215,395","$860,525,340"
"Jan 28, 2021",$11.19,$12.68,$10.90,$12.00,"$115,201,839","$923,265,425"
"Jan 29, 2021",$12.02,$12.61,$11.38,$11.62,"$146,529,369","$894,139,132"
"Jan 30, 2021",$11.62,$12.63,$11.31,$11.98,"$112,936,218","$922,045,929"
"Jan 31, 2021",$12.00,$15.22,$11.86,$13.52,"$351,069,270","$1,039,905,701"
"Feb 01, 2021",$13.52,$13.52,$12.64,$13.23,"$149,280,612","$1,017,705,703"
"Feb 02, 2021",$13.24,$13.67,$12.81,$13.52,"$91,074,992","$1,039,807,777"
"Feb 03, 2021",$13.51,$14.90,$13.20,$14.81,"$144,515,018","$1,139,056,885"
"Feb 04, 2021",$14.80,$15.81,$13.98,$15.37,"$180,318,628","$1,182,382,288"
"Feb 05, 2021",$15.35,$18.00,$15.22,$17.91,"$196,730,774","$1,378,234,929"
"Feb 06, 2021",$17.91,$18.54,$16.04,$17.98,"$192,597,459","$1,383,022,092"
"Feb 07, 2021",$18.02,$24.21,$18.00,$24.21,"$545,865,729","$1,862,429,084"
"Feb 08, 2021",$24.04,$33.31,$23.67,$30.28,"$894,521,369","$2,329,294,595"
"Feb 09, 2021",$30.26,$32.97,$27.57,$31.60,"$445,128,059","$2,431,125,221"
"Feb 10, 2021",$31.60,$59.94,$31.60,$55.30,"$2,235,807,129","$4,254,502,157"
"Feb 11, 2021",$54.93,$56.26,$42.23,$47.37,"$856,224,806","$3,644,532,884"
"Feb 12, 2021",$47.16,$54.39,$43.77,$48.66,"$688,788,872","$3,743,463,409"
"Feb 13, 2021",$48.66,$51.92,$43.49,$43.79,"$380,032,573","$3,368,854,207"
"Feb 14, 2021",$43.77,$44.54,$38.33,$38.58,"$472,803,313","$2,967,920,406"
"Feb 15, 2021",$38.55,$43.99,$33.83,$38.18,"$492,075,708","$2,937,187,691"
"Feb 16, 2021",$38.16,$39.49,$35.29,$36.34,"$360,245,755","$2,795,590,641"
"Feb 17, 2021",$36.40,$41.21,$34.22,$37.05,"$417,547,992","$2,850,682,982"
"Feb 18, 2021",$37.06,$43.70,$36.02,$41.02,"$433,522,043","$3,155,580,312"
"Feb 19, 2021",$41.04,$41.21,$38.00,$38.75,"$319,733,162","$2,981,422,955"
"Feb 20, 2021",$38.77,$42.75,$32.89,$36.23,"$468,606,771","$2,787,727,125"
"Feb 21, 2021",$36.10,$37.93,$35.15,$36.15,"$213,433,308","$2,781,118,658"
"Feb 22, 2021",$36.15,$36.26,$26.93,$32.28,"$341,397,482","$2,483,455,677"
"Feb 23, 2021",$32.31,$32.31,$23.41,$27.56,"$358,695,614","$2,120,608,595"
"Feb 24, 2021",$27.58,$31.90,$25.49,$29.94,"$367,826,263","$2,303,186,093"
"Feb 25, 2021",$29.93,$32.04,$26.74,$26.74,"$246,988,832","$2,057,260,868"
"Feb 26, 2021",$26.86,$27.98,$24.99,$25.94,"$178,639,218","$1,995,732,557"
"Feb 27, 2021",$25.96,$27.42,$25.26,$25.81,"$160,106,642","$1,986,089,484"
"Feb 28, 2021",$25.82,$25.91,$22.30,$23.82,"$156,409,576","$1,832,888,422"
"Mar 01, 2021",$23.88,$27.77,$23.70,$27.40,"$248,201,636","$2,108,365,509"
"Mar 02, 2021",$27.42,$31.74,$26.02,$27.14,"$563,934,379","$2,087,699,036"
"Mar 03, 2021",$27.15,$29.23,$26.62,$27.27,"$305,240,058","$2,098,233,361"
"Mar 04, 2021",$27.27,$28.73,$24.28,$25.81,"$290,696,777","$1,985,374,167"
"Mar 05, 2021",$25.78,$25.78,$23.62,$24.38,"$192,065,807","$2,022,827,428"
"Mar 06, 2021",$24.34,$25.50,$23.90,$24.92,"$138,082,740","$2,077,815,225"
"Mar 07, 2021",$24.92,$27.87,$24.92,$26.65,"$300,207,534","$2,236,935,400"
"Mar 08, 2021",$26.66,$27.07,$25.17,$25.55,"$209,982,091","$2,163,005,884"
"Mar 09, 2021",$25.55,$34.60,$23.74,$34.25,"$1,202,374,920","$4,334,543,281"
"Mar 10, 2021",$34.25,$35.58,$28.91,$29.71,"$842,150,960","$3,770,336,408"
"Mar 11, 2021",$29.65,$32.82,$28.47,$30.73,"$596,126,031","$3,922,974,040"
"Mar 12, 2021",$30.78,$31.48,$27.07,$27.99,"$431,815,755","$3,573,362,288"
"Mar 13, 2021",$28.00,$33.14,$27.05,$30.91,"$521,074,219","$3,946,475,689"
"Mar 14, 2021",$30.88,$32.18,$29.06,$29.06,"$312,497,649","$3,710,525,616"
"Mar 15, 2021",$28.99,$30.46,$27.26,$29.02,"$334,277,022","$3,705,495,664"
"Mar 16, 2021",$28.95,$33.16,$27.75,$33.08,"$450,559,779","$4,224,462,734"
"Mar 17, 2021",$33.08,$33.86,$31.00,$32.65,"$440,750,660","$4,169,564,794"
"Mar 18, 2021",$32.65,$35.61,$31.97,$33.30,"$439,630,072","$4,253,508,948"
"Mar 19, 2021",$33.26,$38.44,$31.76,$37.76,"$621,681,221","$4,823,883,283"
"Mar 20, 2021",$37.59,$39.39,$34.35,$34.35,"$341,937,806","$4,387,539,801"
"Mar 21, 2021",$34.34,$35.51,$32.12,$32.81,"$328,942,185","$4,191,960,631"
"Mar 22, 2021",$32.81,$33.54,$28.99,$29.36,"$310,387,936","$3,751,257,128"
