Date,Open*,High,Low,Close,Volume,Market Cap,
4-Mar-2021,$0.09,$0.09,$0.08,$0.077160,"$24,042,804","$174,747,665",44.41%
5-Mar-2021,$0.08,$0.08,$0.07,$0.076710,"$11,064,424","$174,812,323",-1.13%
6-Mar-2021,$0.08,$0.08,$0.07,$0.073840,"$7,596,717","$168,869,233",-2.91%
7-Mar-2021,$0.07,$0.08,$0.07,$0.078120,"$7,545,827","$179,771,161",1.72%
8-Mar-2021,$0.08,$0.08,$0.07,$0.074550,"$8,614,794","$173,005,263",7.05%
9-Mar-2021,$0.07,$0.09,$0.07,$0.082010,"$14,989,562","$203,223,756",10.91%
10-Mar-2021,$0.08,$0.10,$0.08,$0.094840,"$25,422,608","$235,075,786",20.17%
11-Mar-2021,$0.09,$0.10,$0.09,$0.098370,"$16,112,342","$244,236,259",11.17%
12-Mar-2021,$0.10,$0.10,$0.09,$0.087470,"$15,650,205","$217,227,219",2.75%
13-Mar-2021,$0.09,$0.09,$0.09,$0.088060,"$12,039,590","$218,922,218",-16.45%
14-Mar-2021,$0.09,$0.10,$0.09,$0.097970,"$12,433,759","$243,569,294",-0.08%
15-Mar-2021,$0.10,$0.10,$0.09,$0.091480,"$14,994,233","$229,339,811",-9.16%
16-Mar-2021,$0.09,$0.10,$0.09,$0.098180,"$12,073,011","$249,062,214",5.25%
17-Mar-2021,$0.10,$0.13,$0.10,$0.121500,"$39,731,350","$309,105,877",42.02%
18-Mar-2021,$0.12,$0.31,$0.12,$0.205800,"$1,098,342,458","$573,990,441",148.64%
19-Mar-2021,$0.21,$0.21,$0.17,$0.169300,"$178,430,627","$506,124,974",111.60%
20-Mar-2021,$0.17,$0.18,$0.15,$0.157700,"$121,421,643","$471,520,563",110.86%
21-Mar-2021,$0.16,$0.18,$0.16,$0.169500,"$115,487,780","$523,795,779",119.08%
22-Mar-2021,$0.17,$0.17,$0.14,$0.143000,"$73,877,272","$470,636,082",97.54%
23-Mar-2021,$0.14,$0.15,$0.13,$0.131500,"$66,113,699","$433,891,188",79.60%
24-Mar-2021,$0.13,$0.15,$0.12,$0.122500,"$65,107,873","$408,830,963",69.97%
25-Mar-2021,$0.12,$0.13,$0.11,$0.116300,"$44,057,753","$388,166,826",92.17%
26-Mar-2021,$0.12,$0.14,$0.12,$0.131700,"$60,115,770","$439,562,199",99.94%
27-Mar-2021,$0.13,$0.15,$0.13,$0.139200,"$66,201,105","$465,112,509",103.93%
28-Mar-2021,$0.14,$0.16,$0.14,$0.147000,"$96,542,781","$491,332,322",128.54%
29-Mar-2021,$0.15,$0.15,$0.14,$0.144800,"$56,114,871","$491,036,964",139.97%
30-Mar-2021,$0.14,$0.16,$0.14,$0.146500,"$63,534,689","$497,022,400",173.73%
31-Mar-2021,$0.15,$0.15,$0.13,$0.139600,"$61,035,179","$482,073,516",120.50%
1-Apr-2021,$0.14,$0.15,$0.14,$0.139100,"$51,214,070","$483,249,227",82.35%
2-Apr-2021,$0.14,$0.15,$0.14,$0.142600,"$62,446,941","$495,311,407",61.86%
3-Apr-2021,$0.14,$0.14,$0.13,$0.127100,"$46,323,403","$442,212,214",64.72%
4-Apr-2021,$0.13,$0.14,$0.13,$0.134300,"$37,911,280","$467,164,590",75.07%
5-Apr-2021,$0.13,$0.14,$0.13,$0.130000,"$42,276,904","$459,093,411",76.06%
6-Apr-2021,$0.13,$0.14,$0.13,$0.128400,"$37,233,108","$454,002,393",64.36%
7-Apr-2021,$0.13,$0.13,$0.10,$0.109800,"$60,792,762","$388,317,175",47.28%
8-Apr-2021,$0.11,$0.12,$0.11,$0.119000,"$43,673,156","$420,786,931",45.10%
9-Apr-2021,$0.12,$0.13,$0.12,$0.132700,"$60,891,410","$469,530,805",39.92%
10-Apr-2021,$0.13,$0.17,$0.13,$0.143400,"$246,946,429","$507,127,587",45.78%
11-Apr-2021,$0.14,$0.17,$0.14,$0.149400,"$198,371,087","$528,818,921",70.80%
12-Apr-2021,$0.15,$0.16,$0.14,$0.141600,"$83,719,846","$501,242,025",60.80%
13-Apr-2021,$0.14,$0.15,$0.13,$0.136100,"$50,462,812","$482,423,150",38.92%
14-Apr-2021,$0.14,$0.14,$0.12,$0.131300,"$52,022,552","$465,417,250",43.53%
15-Apr-2021,$0.13,$0.14,$0.13,$0.135000,"$43,463,969","$477,124,201",37.50%
16-Apr-2021,$0.13,$0.14,$0.12,$0.124700,"$49,263,058","$440,840,367",2.63%
17-Apr-2021,$0.12,$0.13,$0.12,$0.124500,"$54,081,200","$440,167,879",-39.50%
18-Apr-2021,$0.12,$0.13,$0.10,$0.107200,"$70,905,471","$378,942,530",-36.68%
19-Apr-2021,$0.11,$0.11,$0.09,$0.096620,"$51,685,586","$341,565,451",-38.73%
20-Apr-2021,$0.10,$0.11,$0.08,$0.099000,"$67,749,022","$349,988,058",-41.59%
21-Apr-2021,$0.10,$0.10,$0.09,$0.092000,"$50,070,541","$325,258,752",-35.66%
22-Apr-2021,$0.09,$0.10,$0.09,$0.090590,"$57,353,747","$321,114,762",-31.11%
23-Apr-2021,$0.09,$0.09,$0.07,$0.080800,"$57,410,020","$286,408,534",-34.04%
24-Apr-2021,$0.08,$0.08,$0.07,$0.073810,"$31,166,180","$261,654,241",-36.53%
25-Apr-2021,$0.07,$0.08,$0.07,$0.074110,"$31,810,343","$262,700,931",-43.73%
26-Apr-2021,$0.07,$0.09,$0.07,$0.087120,"$63,606,073","$308,839,109",-37.41%
27-Apr-2021,$0.09,$0.09,$0.09,$0.090620,"$56,990,286","$321,220,518",-38.35%
28-Apr-2021,$0.09,$0.10,$0.08,$0.091920,"$71,679,006","$325,822,632",-36.52%
29-Apr-2021,$0.09,$0.11,$0.09,$0.102100,"$145,705,463","$361,953,602",-30.31%
30-Apr-2021,$0.10,$0.12,$0.10,$0.106200,"$110,013,903","$376,471,027",-23.93%
1-May-2021,$0.11,$0.12,$0.10,$0.113500,"$81,207,263","$402,441,198",-18.40%
2-May-2021,$0.11,$0.12,$0.10,$0.123900,"$116,908,399","$439,294,955",-13.11%
3-May-2021,$0.12,$0.14,$0.12,$0.122800,"$158,190,167","$435,436,917",-3.38%
4-May-2021,$0.12,$0.12,$0.10,$0.105100,"$119,158,540","$372,653,289",-21.74%
5-May-2021,$0.10,$0.11,$0.10,$0.110600,"$72,398,869","$392,131,212",-14.92%
6-May-2021,$0.11,$0.11,$0.10,$0.102900,"$73,555,481","$364,774,563",-19.86%
7-May-2021,$0.10,$0.11,$0.10,$0.099700,"$54,445,442","$353,412,918",-9.20%
8-May-2021,$0.10,$0.11,$0.10,$0.100800,"$46,494,278","$357,403,168",-15.29%
9-May-2021,$0.10,$0.10,$0.09,$0.099210,"$42,138,236","$351,682,917",-25.24%
10-May-2021,$0.10,$0.10,$0.08,$0.086220,"$54,116,857","$305,634,634",-39.87%
11-May-2021,$0.09,$0.09,$0.08,$0.089910,"$45,377,444","$318,730,323",-39.82%
